"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
China,76944,8.0,2444.0,2.0,23321.0,11477.0,Asia
Diamond Princess,691,57.0,3.0,1.0,17.0,36.0,
S. Korea,602,166.0,6.0,4.0,18.0,7.0,Asia
Italy,157,78.0,3.0,1.0,2.0,26.0,Europe
Japan,146,12.0,1.0,,23.0,7.0,Asia
Singapore,89,,,,51.0,5.0,Asia
Hong Kong,74,4.0,2.0,,12.0,6.0,Asia
Iran,43,14.0,8.0,2.0,,,Asia
Thailand,35,,,,21.0,2.0,Asia
USA,35,,,,7.0,,N.America
Taiwan,28,2.0,1.0,,2.0,1.0,Asia
Australia,22,1.0,,,11.0,,Oceania
Malaysia,22,,,,18.0,,Asia
Germany,16,,,,14.0,,Europe
Vietnam,16,,,,15.0,,Asia
U.K.,13,4.0,,,8.0,,Europe
U.A.E.,13,,,,3.0,2.0,Asia
France,12,,1.0,,10.0,,Europe
Canada,10,1.0,,,3.0,,N.America
Macao,10,,,,6.0,,Asia
Philippines,3,,1.0,,2.0,,Asia
India,3,,,,3.0,,Asia
Israel,2,1.0,,,,,Asia
Russia,2,,,,2.0,,Europe
Spain,2,,,,2.0,,Europe
Belgium,1,,,,1.0,,Europe
Cambodia,1,,,,1.0,,Asia
Egypt,1,,,,1.0,,Africa
Finland,1,,,,1.0,,Europe
Lebanon,1,,,,,,Asia
Nepal,1,,,,1.0,,Asia
Sri Lanka,1,,,,1.0,,Asia
Sweden,1,,,,,,Europe
Iraq,1,,,,,,Asia
